 ,,,,,,,Dolar al dia,$18.50,,% Desc Compe.,96%,,IGI,0%,Imp y Flete,23%,Dll banca,$18.75,,,,,,,Descuento Ervey,14%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Barcode,Foto URL,Nombre Eng,Nombre Esp,Descripcion,UVA Nombre,Item Code,Uni Code,Categoria,Montaje,Tipo,$ Venta,Rotacion,Stock,Status,Notes,Pedido ,$ ZG,$ Oth,$ BM,$ Ptij dll,$ Ptij mxn,Veces G,,"PRECIO
OG",PRECIO ERVEY,VG CABOS,,,,"PRECIO ESP
TIJUANA"
1249,75045891249,,ELBOW 45 DEGREE LONG,"CODO 5""x 45° CON EXTENSIO",,,427190,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1250,75045891250,,TIE RID,TORNILLO PARA PERNO SUJETADOR,,,264392004,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1251,75045891251,,COUPLING ASSEMBLY FOR WATER PUMP,ENSAMBLE COMPLETO PARA BOMBA DE AGUA Y MOTOR  HIDRAULICO,,,AT139288,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1252,75045891252,,FLUSHING WATER PUMP,BOMBA AGUA SUMERGIBLE,,,404435,,Putzmeister,Sistema de bombeo de concreto,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1253,75045891253,,HYDRAULIC MOTOR 5.5 CM3,"MOTOR HIDRAULICO 5.5cm3 BOMBA DE AGUA, SUMERGIBLE.",,,229178001,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1254,75045891254,,SEAL SET FOR HYDRAULIC MOTOR OMH 500,KIT SELLO MOTOR AGITADOR OHM 500,,,239696007,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1255,75045891255,,SHAFT FOR HYDRAULICK MOTOR OMH 500,BARRA CON CUÑA MOTOR AGITADOR OHM500 DE CODO CON BISAGRA,,,23813001,,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1259,75045891259,,COUPLING PIECE G61,ACOPLAMIENTO PARA CAJA Y COMBA G61,,,258694006,G61-F24,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1260,75045891260,,"BUSHING 40,7x60,5x40",BUJE GUIA CONECTOR 40.7 X60.5 X 40,,,205220009,,Putzmeister,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1261,75045891261,,CYLINDRICAL ROLLER BEARING,BALERO GRANDE PARA BOMBA HIDRAULICA A11VO260,,,F207407,,Putzmeister,Componentes hidráulicos,BALEROS,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1262,75045891262,,RNU CYLINDRICAL ROLLER BEARING FOR HYDRAULIC PUMPS,BALERO BOMBA HIDRAULICA  A11Vo260,,,F204754 RNU,,Putzmeister,Componentes hidráulicos,BALEROS,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1263,75045891263,,,RETEN 45x62x7 PARA BOMBA A7VO55,,,30321870,,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1264,75045891264,,,RETEN 50x72x7/7.5,,,30310063,,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1265,75045891265,,,RETEN 60x80x7,,,30321872,,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1267,75045891267,,GUIDE RING Q200,ANILLO GUIA RETEN DE PISTON DN200,,,080794006,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1268,75045891268,,DELIVERY PISTON SEAL Q230,ANILLO GUIA RETEN DE PISTON DN230,,,80672005,080373003,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1269,75045891269,,LIP SEAL RING 220x240x15,RETEN 220,,,247565007,,Putzmeister,Sellos y retenes,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1276,75045891276,,FILTER ELEMENT,FILTRO HIDRAULICO,,,416341,,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,B,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1278,75045891278,,FILTER ELEMENT,FILTRO HIDRAULICO,,,248911003,,Putzmeister,SIN ASIGNAR,FILTROS,$0.00,B,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1279,75045891279,,FILTER ELEMENT,FILTRO HIDRAULICO,,,222895006,,Putzmeister,SIN ASIGNAR,FILTROS,$0.00,B,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1280,75045891280,,,BOMBA HIDRAULICA DE PISTON FIJO A2F12,,,63927007,,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1281,75045891281,,HYDRAULIC PUMP A10VO28(13) DR,BOMBA HIDRAULICA A10VO28,,,067370003,,Putzmeister,HIDRAULICO,BOMBAS,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1282,75045891282,,FILTER ELEMENT,"FILTRO PARA PLUMA 30"" LG",,,61127003,,Putzmeister,SIN ASIGNAR,FILTROS,$0.00,B,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1285,75045891285,,SEAL SET FOR BOOM CYLINDER D115/70,KIT SELLOS PARA CILINDRO HIDRAULICO D115/70,,,445760,,Putzmeister,SIN ASIGNAR,EMPAQUES,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1286,75045891286,,SEAL SET FOR BOOM CYLINDER D200/125,KIT SELLOS PARA CILINDRO HIDRAULICO D200/125,,,445769,,Putzmeister,SIN ASIGNAR,EMPAQUES,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1287,75045891287,,SEAL SET FOR BOOM CYLINDER DN165/105,KIT SELLOS PARA CILINDRO HIDRAULICO DN165/105,,,445766,,Putzmeister,SIN ASIGNAR,EMPAQUES,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1288,75045891288,,SEAL SET FOR BOOM CYLINDER DN225/125,KIT SELLOS PARA CILINDRO HIDRAULICO DN225/125,,,445777,,Putzmeister,SIN ASIGNAR,EMPAQUES,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1289,75045891289,,OUTRIGGER HYDRAULIC CYLINDER SEAL KIT DN-150/DN250,KIT SELLOS PARA PISTON ESTABILIZADOR DN-150/DN250,,,088610001,,Putzmeister,SIN ASIGNAR,EMPAQUES,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1290,75045891290,,OUTRIGGER HYDRAULIC CYLINDER SEAL KIT DN50/40,KIT SELLOS PARA PISTON ESTABILIZADOR  DN50/40,,,086085007,,Putzmeister,SIN ASIGNAR,EMPAQUES,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1291,75045891291,,OUTRIGGER OIL CYLINDER SEAL KIT DN80/63,KIT SELLOS PARA PISTON ESTABILIZADOR DN80/63,,,251411008,,Putzmeister,SIN ASIGNAR,EMPAQUES,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1293,75045891293,,SHUTOFF MONOBLOC 310 BAR,VALVULA RETENCION 310 BAR,,,251779009,,Putzmeister,SIN ASIGNAR,VALVULAS,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1294,75045891294,,SHUTOFF MONOBLOC 320 BAR,VALVULA RETENCION 320 BAR,,,415655,,Putzmeister,SIN ASIGNAR,VALVULAS,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1295,75045891295,,SHUTOFF MONOBLOC 350 BAR,VALVULA RETENCION 350 BAR,,,412538,,Putzmeister,SIN ASIGNAR,VALVULAS,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1296,75045891296,,SHUTOFF MONOBLOC 400 BAR,VALVULA RETENCION 400 BAR,,,25193000,,Putzmeister,SIN ASIGNAR,VALVULAS,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1297,75045891297,,SHUTOFF MONOBLOC,VALVULA RETENCION 330 BAR,,,413445,,Putzmeister,SIN ASIGNAR,VALVULAS,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1298,75045891298,,SHUTOFF MONOBLOC,VALVULA RETENCION 360 BAR,,,429736,,Putzmeister,SIN ASIGNAR,VALVULAS,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1299,,,,Tapon hidráulico,,,54720066,,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1300,75045891300,,,MANGUITO DE ACOPLAMIENTO PARA BOMBA HIDRAULICA,,,62589006,,Putzmeister,HIDRAULICO,BOMBAS,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1301,75045891301,,,ENGRANE PARA MANGUITO ,,,66899006,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1302,75045891302,,CLUTCH SHAFT,FLECHA CAJA DE TRANSFERENCIA G64,,,284949000,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1305,75045891305,,SPLINED SHAFT ,BARRA DENTADA HUECA,,,284940009,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1306,75045891306,,REXROTH A4vg125 F69 CHARGE PUMP,BOMBAS DE PRECARGA A4vg125 F69,,,A4VG125-F69,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1307,75045891307,,HYDRAULIC PUMP R A4V125HD,BOMBA HIDRAULICA A4VG 125HD ROTACIÓN DERECHA,,,266680002,,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1308,75045891308,,SEAL SET,KIT SELLOS,,,445763,,Putzmeister,SIN ASIGNAR,EMPAQUES,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1309,75045891309,,SEAL SET,KIT SELLOS,,,445764,,Putzmeister,SIN ASIGNAR,EMPAQUES,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1310,75045891310,,SOLENOID PRESSURE CONTROL VALVE 12V,ELECTRO VALVULA 12V / VALVULA SELENOIDE DE RETENCION HIDRAULICA PARA PLACA,,,SWH-G02,,Putzmeister,Componentes eléctricos,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1311,75045891311,,MUD FLAPS,LODERAS,,,441523,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1312,75045891312,,PROXIMITY SWITCH CONNECTING CABLE 750cm/MULTIPLE PLUG 75CM,CABLE SENSOR DE PROXIMIDAD 750cm,,,259748003,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,B,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1313,75045891313,,PROXIMITY SWITCH CONNECTING CABLE 2m/ MULTIPLE PLUG 2m,CABLE SENSOR DE PROXIMIDAD 2m,,,257562003,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,B,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1314,75045891314,,PROXIMITY SWITCH CONNECTING CABLE 3m/MULTIPLE PLUG 3m,CABLE SENSOR DE PROXIMIDAD 3m,,,257563002,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,B,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1316,75045891316,,SOLENOID 24V,SELENOIDE 24V,,,256078006,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1318,75045891318,,TEETH CONCRETE PUMP TRUCK SPARE PARTS ,ENGRANE PARA CAJA DE TRANSFERENCIA 46T,,,222199003,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1319,75045891319,,,BARRA DENTADA 18 DIENTES PARA CAJA G61,,,66040004,,Putzmeister,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1321,,,,BUJE PARA BOMBA DE PRECARGA B12 Y F69,,,BUJE B12/F69,,Putzmeister,Componentes hidráulicos,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1322,,,,REGULADOR DE AIRE CON MARCADOR,,,P6180731,,WAM,Elementos de medición y control,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1323,75045891323,,AIR REGULATOR AND FILTER ,"REGULADOR, FILTRO AIRE Y LUBRICADOR ENSAMBLE",,,NAL-4000-N04-3,L32L-04,WAM,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1325,75045891325,,FOUR CHANNEL JB4SS JUNCTION BOX,CAJA DE UNION DE 4 CANALES AFTERMARKET,,,BOX JB4S,,WAM,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1326,,,,Tapón para polea transportadora lenta,,,PM12L26,,WAM,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1328,,,,"BARRA DE 7"" COMPLETA CHUMACERA",,,PCA7-5651,,WAM,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1330,75045891330,,PRECISION BATCH PLANT IDLERS,TRANSPORTADORA DE PRESICION CANALON LENTO,,,PIDL-B4-20TE-30SB,,WAM,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1331,75045891331,,PRECISION PULLEY & IDLER,TRANSPORTADORA DE PRESION PLANO LENTO,,,PIDL-B5-F-24SB-1,,WAM,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1332,75045891332,,"SUPERIOR INDUSTRIES C5-20E-36 EQUAL IMPACT TROUGHING IDLER 20  DEDREE FOR 36""BELT",TRANSPORTADOR SUPERIOR DE CANALON LENTO,,,PIDL-2030,,WAM,Componentes estructurales y de montaje,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1345,75045880544,,"BUTTERFLY VALVE 10""","VALVULA MARIPOSA 10"" BRIDA SIMPLE HIGH QUALITY",,,PBV-10BRAY,,WAM,Componentes hidráulicos,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1346,75045880545,,2IN TURBO METER ONLY WITH PFT-4E SCALABLE,"MEDIDOR TURBO 2"" CON PFT-4E ESCALABLE CON TRANSMISION",,,258094,WCM258094,WAM,Elementos de medición y control,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1347,75045880406,,"3IN TURBO METER ONLY WITH PFT-4E SCALABLE
PFT-4E Scalable Transmitter","MEDIDOR TURBO 3"" CON PFT-4E CON TRANSMISOR ",,,258095,WCM258095,WAM,Elementos de medición y control,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1348,75045880250,,4IN TURBO METER ONLY WITH PFT-4E SCALABLE,"MEDIDOR TURBO 4"" CON PFT-4E ESCALABLE CON TRANSMISION",,,258141,WCM258141,WAM,Elementos de medición y control,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1349,75045880286,,2IN TURBO METER ONLY NO TRANSMITTER,"MEDIDOR TURBO 2"" SIN TRANSMISOR",,,258013,WCM258013,WAM,Elementos de medición y control,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1350,75045880407,,LIMIT SWITCH FOR 4IN TO 16IN BUTTERFLY VALVES,LIMPIADOR ACTUADOR NEUMATICO,,,MIC23,,WAM,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1352,75045880287,,JET PULSE CARTRIDGE FILTER,FILTRO COLECTOR DE POLVO,,,P10245,,WAM,Componentes para silos,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1354,75045891354,,FILTER CARTRIDGE   ,"FILTRO CILINDRICO 30X6"" PARA SILO DE CEMENTO",,,KFEC2001PP3JC,,WAM,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1355,75045891355,,,FILTRO DE AIRE COMPACTO,,,P6180618,,WAM,Componentes neumáticos,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1356,750458801356,,"COMPRESSED AIR FILTER: PARTICULATE, 1/2 in NPT, 40 micron, 130 cfm, 150 psi Max Op Pressure",FILTRO AIRE CON DRENADO AUTOMATICO,,,07F36AC,,WAM,Componentes neumáticos,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1357,750458801357,,SILOTOP VENTING FILTER,COLECTOR DE POLVO,,,PR03,,WAM,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1358,75045891358,,,TAPA COLECTOR DE POLVO PR03 ,,,TAPA PARA PR03,,WAM,Componentes para silos,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1362,75045880489,,"VIBRATOR 1-PHASE 220V, 1PH, 3000RPM MVE60/3M FC:66KG","VIBRADOR ELECTRICO 220V, 1PH, 3000RPM MVE60/3M FC:66KG",,,MVE 60/3M,,WAM,SIN ASIGNAR,VIBRADORES,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1366,75045891366,,ROTARY BALL VIBRATORS S8 DE25000 VIB/MIN - PNEUMATIC VIBRATOR S8 DE25000 VIB/MI,VIBRADOR NEUMATICO - S8 DE25000 VIB/MIN,,,S8,,WAM,SIN ASIGNAR,VIBRADORES,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1370,75045880411,,ROTARY BALL VIBRATORS S20 DE10500 VIB/MIN - PNEUMATIC VIBRATOR S20 DE10500 VIB/MIN,VIBRADOR NEUMATICO - S20 DE10500 VIB/MIN,,,S20,,WAM,SIN ASIGNAR,VIBRADORES,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1371,75045880412,,ROTARY BALL VIBRATORS S25 DE9200 VIB/MIN - PNEUMATIC VIBRATOR S25 DE9200 VIB/MIN,VIBRADOR NEUMATICO - S25 DE9200 VIB/MIN,,,S25,,WAM,SIN ASIGNAR,VIBRADORES,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1372,75045880413,,ROTARY BALL VIBRATORS S30 DE7800  VIB/MIN - PNEUMATIC VIBRATOR S30 DE7800 VIB/MIN,VIBRADOR NEUMATICO - S30 DE7800 VIB/MIN,,,S30,,WAM,SIN ASIGNAR,VIBRADORES,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1373,75045880414,,ROTARY BALL VIBRATORS S36 DE7300  VIB/MIN - PNEUMATIC VIBRATOR S36 DE7300 VIB/MIN,VIBRADOR NEUMATICO - S36 DE7300 VIB/MIN,,,S36,,WAM,SIN ASIGNAR,VIBRADORES,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1374,75045891374,,SCALER BOARD ,TARJETA PARA CUENTA LITROS BADGER METER,,,250256,,WAM,Elementos de medición y control,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1376,75045891376,,SOLENOID COIL 110V,COIL VALVULA 110V,,,BOB11050,,WAM,Componentes eléctricos,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1377,75045891377,,ELECTRIC OVER AIR SOLENOID VALVE,BOBINA COLECTOR DE POLVOS,,,NR0200,,WAM,Componentes eléctricos,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1378,75045891378,,,AIREADOR TIPO PAD,,,1100N,I100N,WAM,SIN ASIGNAR,SIN ASIGNAR,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1379,75045891379,,CEMENT SILO AERATION PAD ASSEMBLY RECTANGULAR ,KIT AIRADOR MONTAJE DE VENTILACION,,,P101698,,WAM,Componentes para silos,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1380,75045880407,,,LIMITADOR PARA ACTUADOR NEUMATICO,,,P101376,,WAM,SIN ASIGNAR,VIBRADORES,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1381,,,,"CELDA DE PODER 10,000 TIPE ARTECH",,,P111010,,WAM,Elementos de medición y control,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1382,,,,CONTROL DE GIRO,,,P73911,,WAM,Elementos de medición y control,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1384,75045891384,,VFS4300-3FZ DOUBLE SOLENOID ELECTRIC OVER AIR VALVE,Electroválvula 2 WAM ,,,PAV-4300-000,,WAM,SIN ASIGNAR,VALVULAS,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1385,75045891385,,,CONJUNTO LUBRICADOR CON REGULADOR Y FILTRO WAM 1,,,AC5000-06,,WAM,Componentes neumáticos,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1386,75045891386,,,CONJUNTO LUBRICADOR CON REGULADOR Y FILTRO WAM 2,,,AC4000-04,,WAM,Componentes neumáticos,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1387,75045891387,,,REGULADOR FILTRO DE AIRE  ,,,AC3010-03,P1220376,WAM,Componentes neumáticos,Sin Asignar,$0.00,,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1393,75045891393,,,"Tubo de 4"" x3 metros HD",,,T4X3HD,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,A,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
1394,75045891394,,,"TUBO DE 3"" X 3 METROS HD",,,T3X3HD,,Tuberia,Componentes estructurales y de montaje,Sin Asignar,$0.00,A,,To Re-purchase,,,$0.00,$0.00,$0.00,$0.00,$0.00,#DIV/0!,,,,,,,,
